text,rating
"Parę lat temu obejrzałem na raz serial ""Gra o Tron"" i po piątym sezonie zabrałem się za książki. Mogę powiedzieć tyle, że zaciekawiły mnie tak mocno, że wszystkie skończyłem w przeciągu 2 miesięcy. Nie ukrywam, że jestem fanem fabuły przesączonej pewnym mrokiem, spiskami itd., stąd jest to moja bajka. Na pewno cykl nie podejdzie do gustu osobom o słabych nerwach (nie dawajcie go też do rąk dzieciom!). Chyba największym (moim zdaniem) plusem książki są te wszystkie foreshadowingi, luki które czytelnik sam musi wypełnić na podstawie domysłów i teorii. Martin wynosi zaangażowanie czytelnika na zupełnie nowy poziom. Nie dostajemy bowiem wszystkiego na tacy, a pewne rzeczy sami musimy wydedukować. Wystarczy powiedzieć, że teoria R+L=J pojawiła się już po wydaniu pierwszej książki. Fabuła jest wciągająca, choć trzeba przyznać, że w pierwszej części sagi rozwija się dość powoli. Jestem jednak w stanie to zrozumieć - Martin buduje tu dość spory świat i ogromną liczbę bohaterów. Autor dopiero pokazuje przyczyny konfliktu, który ma ogarnąć całe Westeros, więc wymaga to trochę cierpliwości od czytelnika przed rozgorzeniem konfliktu. Historia nie jest jednak z całą pewnością nudna, po prostu ""Gra o tron"" skupia się bardziej na intrygach i knowaniach niż pozostałe części. ",8
"Świetna średniowieczna opowieść ze światem i postaciami które żyją i żyły długo przed przeczytaniem książki. Historia z perspektywy wielu postaci, nawet stających przeciw sobie jest urzekająca, bo z każdym jest się związanym emocjonalnie. Spodziewając się epic fantasy można się trochę zawieść, bo elementy fantasy są bardziej zapowiedzią niż rzeczywistym elementem opowieści, ale są zapowiedzią akceptowalną. ",unknown
"Nie umiem odpowiednio ocenić, bo nie jest to mój ulubiony gatunek, ale postanowiłam dokończyć i klimat bardzo mi odpowiada, ale te wszystkie fantastyczne wątki trochę mnie nudzą. ",5
"Martin to jednak potrafi. Książkę przeczytałem w krotce po obejrzeniu pierwszego sezonu HBO, potem było już z górki. Nim zaczęli kręcić 3 sezon przeczytałem już wszystkie dostępne części książki i nadal czekam na Wichry Zimy. Właściwie w moment stałem się fanem świata Westeros. ",unknown
"Nie jestem fanem fantasy, a serialu nie oglądałem. Mimo to, a może właśnie dzięki temu, książka zrobiła na mnie kolosalne wrażenie. Nie ma tutaj oklepanego motywu ""epickiej walki dobra ze złem, przy akompaniamencie muzyki ludowej"". W zamian za to otrzymujemy kalejdoskop spisków, zdrad, brudnej politycznej gry, miłości i śmierci. Pomimo ogromnej ilości wątków i bohaterów czyta się nad wyraz lekko. ",9
"Książkę przeczytałem bez większych emocji i bez chęci na poznanie dalszych losów bohaterów. Moim zdaniem jedynie postać Tyriona Lannistera i wątek Daenerys Targaryen wypadają dobrze, reszta przeciętnie. Nie moje klimaty. ",5
"Początek sagi, którą wszyscy znają dzięki ekranizacji HBO. Arcydzieło literatury fantasy, które w pełny sposób oddaje zdradliwość natury ludzkiej w dążeniu do świętego Graala, jakim jest władza. Bezwzględność prostoty oraz meandry równie bezlitosnych gierek salonowych. Człowiek pozostaje człowiekiem pomimo, a nawet wbrew okolicznościom, jakich doświadcza. Wątek Denerys jest najgłębszy i mroczny do imentu. Polecam rzucić się w wir tej skomplikowanej gry o tron, gdyż potrwa kilka dobrych tomów. ",9
"Fabuła tej powieści jest już chyba mniej więcej wszystkim znana. Większość z Was o niej słyszała lub oglądała serial, który w przypadku pierwszego tomu jest bardzo dokładną adaptacją. Porywająca opowieść o władzy, zdradzie, honorze, miłości, o życiu w świcie intryg, walce o władzę i przetrwanie. A to wszystko otulone tajemniczym poczuciem zbliżania się czegoś o wiele bardziej przerażającego. Doskonale wykreowani, prawdziwi i pełni emocji bohaterowie oraz pełna zwrotów akcja sprawia, że choć to prawie 1000 stronicowa księga, czyta się ją dość szybko. Serdecznie polecam! ",9
"Nie miałam zamiaru sięgać po tą książkę. Zostałam postawiona przed faktem dokonanym i teraz wiem co by mnie ominęło. Nie przeżyłabym wspaniałej przygody. Północ i południe przyciągnęły mnie do siebie i nie chciały wypuścić. Towarzyszyły mi wszystkie możliwe emocje. Niesamowite rody, intrygi, naiwność i przebiegłość. Waleczność i honor. Chęć odebrania tego co swoje. Krew i miłość, także zdrada. Rodzinne więzy zostają rozerwane, chłopcy muszą stać się mężczyznami właściwie z dnia na dzień... Można tak długo, tu jest wszystko. Nie napiszę niczego, co nie zostało tu już napisanie. Dodatkową zaletą jest fantastyczna mapa na końcu książki, często do niej wracałam, śledząc choćby przebieg walk. Nadchodzi zima. A ja nie opuszczę tych ziem aż do końca. Polecam!!! Dziękuję! :) ",10
"Bardzo dobra powieść fantasy. Niedużo w niej magii i fantasy, ale wykreowani bohaterowie, wielowątkowa intryga oraz całkiem skomplikowany świat wynagradzają brak typowego sword&sorcery. Na tle innych, ostatnich produkcji fantasy książa zaciekawia i jest bardzo dobra. Aż chce się czytać więcej. ",9
